run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40.000;50.000;1;0.794;0;2.666;4.052;3.460;5.260
1;40.000;50.000;1;0.800;0;3.000;4.524;3.800;5.731
2;40.000;50.000;1;0.804;0;3.185;4.777;3.989;5.983
3;40.000;50.000;1;0.803;0;3.116;4.591;3.919;5.776
4;40.000;50.000;1;0.816;0;3.585;5.360;4.401;6.581
0;80.000;50.000;2;0.808;0;2.583;1.915;4.198;3.113
1;80.000;50.000;2;0.818;0;3.018;2.229;4.654;3.439
2;80.000;50.000;2;0.810;0;2.614;1.931;4.235;3.130
3;80.000;50.000;2;0.797;0;2.356;1.779;3.949;2.982
4;80.000;50.000;2;0.806;0;2.563;1.920;4.175;3.128
