run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40.000;50.000;1;0.826;0;2.425;3.609;3.251;4.843
1;40.000;50.000;1;0.837;0;2.680;3.910;3.518;5.136
2;40.000;50.000;1;0.810;0;4.333;6.511;5.143;7.732
3;40.000;50.000;1;0.777;0;2.846;3.913;3.623;5.059
4;40.000;50.000;1;0.853;0;5.026;7.825;5.879;9.155
0;80.000;50.000;2;0.820;0;2.905;2.126;4.544;3.341
1;80.000;50.000;2;0.843;0;3.010;2.219;4.695;3.472
2;80.000;50.000;2;0.824;0;3.652;2.717;5.299;3.949
3;80.000;50.000;2;0.834;0;3.915;2.829;5.582;4.034
4;80.000;50.000;2;0.786;0;1.954;1.484;3.526;2.726
