run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40.000;50.000;1;0.826;0;2.425;3.609;3.251;4.843
1;40.000;50.000;1;0.837;0;2.680;3.910;3.518;5.136
2;40.000;50.000;1;0.810;0;4.333;6.511;5.143;7.732
3;40.000;50.000;1;0.777;0;2.846;3.913;3.623;5.059
4;40.000;50.000;1;0.853;0;5.026;7.825;5.879;9.155
0;80.000;50.000;2;0.820;0;2.905;2.126;4.544;3.341
1;80.000;50.000;2;0.843;0;3.010;2.219;4.695;3.472
2;80.000;50.000;2;0.824;0;3.652;2.717;5.299;3.949
3;80.000;50.000;2;0.834;0;3.915;2.829;5.582;4.034
4;80.000;50.000;2;0.786;0;1.954;1.484;3.526;2.726
0;120.000;50.000;3;0.752;0;2.076;0.987;4.333;2.187
1;120.000;50.000;3;0.844;0;5.356;2.609;7.888;3.844
2;120.000;50.000;3;0.770;0;1.725;0.871;4.036;2.038
3;120.000;50.000;3;0.773;0;2.375;1.195;4.694;2.369
4;120.000;50.000;3;0.755;0;1.431;0.752;3.695;1.942
0;160.000;50.000;4;0.759;0;2.356;0.916;5.394;2.100
1;160.000;50.000;4;0.799;0;1.820;0.683;5.016;1.882
2;160.000;50.000;4;0.740;0;1.274;0.496;4.234;1.662
3;160.000;50.000;4;0.798;0;2.044;0.768;5.236;1.967
4;160.000;50.000;4;0.805;0;2.178;0.818;5.397;2.030
0;200.000;50.000;5;0.791;0;2.014;0.613;5.968;1.822
1;200.000;50.000;5;0.782;0;1.428;0.434;5.339;1.621
2;200.000;50.000;5;0.744;0;1.151;0.356;4.871;1.516
3;200.000;50.000;5;0.785;0;1.762;0.531;5.689;1.717
4;200.000;50.000;5;0.746;0;1.240;0.383;4.968;1.536
0;240.000;50.000;6;0.759;0;1.173;0.307;5.725;1.500
1;240.000;50.000;6;0.797;0;2.512;0.630;7.297;1.836
2;240.000;50.000;6;0.781;0;3.052;0.758;7.740;1.947
3;240.000;50.000;6;0.806;0;1.896;0.468;6.734;1.665
4;240.000;50.000;6;0.783;0;1.459;0.366;6.155;1.545
0;280.000;50.000;7;0.762;0;1.288;0.283;6.625;1.472
1;280.000;50.000;7;0.755;0;0.993;0.220;6.279;1.391
2;280.000;50.000;7;0.757;0;1.046;0.229;6.344;1.392
3;280.000;50.000;7;0.795;0;1.673;0.358;7.239;1.550
4;280.000;50.000;7;0.767;0;1.549;0.336;6.917;1.507
0;320.000;50.000;8;0.777;0;1.212;0.234;7.429;1.434
1;320.000;50.000;8;0.752;0;1.168;0.227;7.184;1.398
2;320.000;50.000;8;0.779;0;1.563;0.295;7.795;1.473
3;320.000;50.000;8;0.807;0;1.351;0.249;7.809;1.444
4;320.000;50.000;8;0.772;0;1.714;0.327;7.887;1.509
0;360.000;50.000;9;0.781;0;1.545;0.249;8.572;1.459
1;360.000;50.000;9;0.777;0;1.602;0.272;8.596;1.461
2;360.000;50.000;9;0.781;0;1.618;0.273;8.651;1.464
3;360.000;50.000;9;0.804;0;1.141;0.188;8.375;1.383
4;360.000;50.000;9;0.771;0;1.190;0.203;8.132;1.391
0;400.000;50.000;10;0.779;0;1.500;0.228;9.294;1.426
1;400.000;50.000;10;0.755;0;0.778;0.120;8.325;1.291
2;400.000;50.000;10;0.778;0;1.143;0.173;8.924;1.361
3;400.000;50.000;10;0.801;0;1.647;0.243;9.656;1.426
4;400.000;50.000;10;0.797;0;2.038;0.308;10.004;1.517
