run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40.000;50.000;1;0.794;0;2.666;4.052;3.460;5.260
1;40.000;50.000;1;0.800;0;3.000;4.524;3.800;5.731
2;40.000;50.000;1;0.804;0;3.185;4.777;3.989;5.983
3;40.000;50.000;1;0.803;0;3.116;4.591;3.919;5.776
4;40.000;50.000;1;0.816;0;3.585;5.360;4.401;6.581
5;40.000;50.000;1;0.794;0;4.032;6.150;4.826;7.362
6;40.000;50.000;1;0.787;0;2.610;3.994;3.397;5.201
7;40.000;50.000;1;0.768;0;2.427;3.671;3.196;4.834
8;40.000;50.000;1;0.799;0;3.923;5.857;4.722;7.050
9;40.000;50.000;1;0.816;0;3.987;5.800;4.803;6.990
10;40.000;50.000;1;0.756;0;2.306;3.478;3.062;4.642
11;40.000;50.000;1;0.779;0;2.535;3.841;3.315;5.022
12;40.000;50.000;1;0.786;0;2.871;4.387;3.657;5.591
13;40.000;50.000;1;0.803;0;2.496;3.701;3.300;4.893
14;40.000;50.000;1;0.767;0;2.032;3.164;2.798;4.359
15;40.000;50.000;1;0.785;0;2.992;4.598;3.778;5.805
16;40.000;50.000;1;0.780;0;2.820;4.382;3.601;5.596
17;40.000;50.000;1;0.813;0;3.285;4.855;4.098;6.058
18;40.000;50.000;1;0.770;0;3.031;4.616;3.801;5.789
19;40.000;50.000;1;0.828;0;4.501;6.556;5.329;7.762
0;80.000;50.000;2;0.808;0;2.583;1.915;4.198;3.113
1;80.000;50.000;2;0.818;0;3.018;2.229;4.654;3.439
2;80.000;50.000;2;0.810;0;2.614;1.931;4.235;3.130
3;80.000;50.000;2;0.797;0;2.356;1.779;3.949;2.982
4;80.000;50.000;2;0.806;0;2.563;1.920;4.175;3.128
5;80.000;50.000;2;0.804;0;3.894;2.934;5.502;4.147
6;80.000;50.000;2;0.785;0;2.449;1.861;4.019;3.055
7;80.000;50.000;2;0.788;0;2.286;1.718;3.862;2.903
8;80.000;50.000;2;0.780;0;2.544;1.906;4.104;3.075
9;80.000;50.000;2;0.798;0;2.765;2.059;4.360;3.248
10;80.000;50.000;2;0.782;0;2.228;1.676;3.792;2.857
11;80.000;50.000;2;0.775;0;2.292;1.731;3.843;2.909
12;80.000;50.000;2;0.782;0;2.584;1.933;4.149;3.125
13;80.000;50.000;2;0.807;0;2.627;1.965;4.241;3.172
14;80.000;50.000;2;0.784;0;2.656;2.033;4.224;3.233
15;80.000;50.000;2;0.817;0;3.025;2.257;4.658;3.475
16;80.000;50.000;2;0.808;0;2.602;1.955;4.218;3.170
17;80.000;50.000;2;0.789;0;2.814;2.123;4.393;3.318
18;80.000;50.000;2;0.789;0;2.454;1.835;4.031;3.022
19;80.000;50.000;2;0.786;0;2.568;1.926;4.141;3.105
0;120.000;50.000;3;0.774;0;2.192;1.117;4.514;2.300
1;120.000;50.000;3;0.803;0;2.927;1.464;5.336;2.670
2;120.000;50.000;3;0.800;0;2.692;1.345;5.092;2.545
3;120.000;50.000;3;0.812;0;2.689;1.337;5.124;2.548
4;120.000;50.000;3;0.796;0;2.632;1.321;5.021;2.520
5;120.000;50.000;3;0.797;0;2.391;1.204;4.782;2.407
6;120.000;50.000;3;0.817;0;3.054;1.519;5.505;2.738
7;120.000;50.000;3;0.788;0;2.605;1.307;4.969;2.493
8;120.000;50.000;3;0.784;0;2.416;1.212;4.769;2.392
9;120.000;50.000;3;0.816;0;3.484;1.716;5.932;2.922
10;120.000;50.000;3;0.815;0;2.679;1.316;5.123;2.517
11;120.000;50.000;3;0.798;0;2.746;1.369;5.140;2.563
12;120.000;50.000;3;0.792;0;2.318;1.170;4.693;2.369
13;120.000;50.000;3;0.810;0;2.965;1.483;5.394;2.698
14;120.000;50.000;3;0.799;0;2.620;1.315;5.018;2.518
