run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40.000;50.000;1;0.826;0;2.425;3.609;3.251;4.843
1;40.000;50.000;1;0.837;0;2.680;3.910;3.518;5.136
0;80.000;50.000;2;0.820;0;2.905;2.126;4.544;3.341
1;80.000;50.000;2;0.843;0;3.010;2.219;4.695;3.472
0;120.000;50.000;3;0.752;0;2.076;0.987;4.333;2.187
1;120.000;50.000;3;0.844;0;5.356;2.609;7.888;3.844
0;160.000;50.000;4;0.759;0;2.356;0.916;5.394;2.100
1;160.000;50.000;4;0.799;0;1.820;0.683;5.016;1.882
0;200.000;50.000;5;0.791;0;2.014;0.613;5.968;1.822
1;200.000;50.000;5;0.782;0;1.428;0.434;5.339;1.621
0;240.000;50.000;6;0.759;0;1.173;0.307;5.725;1.500
1;240.000;50.000;6;0.797;0;2.512;0.630;7.297;1.836
0;280.000;50.000;7;0.762;0;1.288;0.283;6.625;1.472
1;280.000;50.000;7;0.755;0;0.993;0.220;6.279;1.391
0;320.000;50.000;8;0.777;0;1.212;0.234;7.429;1.434
1;320.000;50.000;8;0.752;0;1.168;0.227;7.184;1.398
0;360.000;50.000;9;0.781;0;1.545;0.249;8.572;1.459
1;360.000;50.000;9;0.777;0;1.602;0.272;8.596;1.461
0;400.000;50.000;10;0.779;0;1.500;0.228;9.294;1.426
1;400.000;50.000;10;0.755;0;0.778;0.120;8.325;1.291
