run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40;50;1;0.803;0;3.386;5.057;4.189;6.256
1;40;50;1;0.800;0;3.213;4.855;4.013;6.063
2;40;50;1;0.805;0;3.645;5.457;4.450;6.662
3;40;50;1;0.798;0;3.004;4.512;3.801;5.711
4;40;50;1;0.801;0;3.383;5.094;4.184;6.300
5;40;50;1;0.793;0;3.375;5.094;4.168;6.291
6;40;50;1;0.796;0;3.055;4.596;3.850;5.794
7;40;50;1;0.784;0;2.979;4.492;3.763;5.674
8;40;50;1;0.801;0;3.480;5.201;4.281;6.398
9;40;50;1;0.798;0;3.108;4.661;3.906;5.857
10;40;50;1;0.802;0;3.090;4.614;3.892;5.811
11;40;50;1;0.793;0;2.810;4.220;3.603;5.411
12;40;50;1;0.797;0;3.051;4.576;3.848;5.771
13;40;50;1;0.803;0;3.466;5.180;4.269;6.380
14;40;50;1;0.791;0;2.985;4.490;3.775;5.680
15;40;50;1;0.806;0;3.370;5.034;4.176;6.238
16;40;50;1;0.805;0;3.427;5.157;4.232;6.368
17;40;50;1;0.800;0;3.069;4.586;3.869;5.782
18;40;50;1;0.792;0;3.057;4.585;3.849;5.773
19;40;50;1;0.799;0;3.121;4.657;3.920;5.849
20;40;50;1;0.792;0;3.231;4.882;4.023;6.078
21;40;50;1;0.791;0;2.864;4.343;3.655;5.542
22;40;50;1;0.802;0;3.519;5.264;4.321;6.465
23;40;50;1;0.804;0;3.140;4.719;3.944;5.927
24;40;50;1;0.808;0;3.360;4.972;4.168;6.168
25;40;50;1;0.801;0;3.269;4.932;4.070;6.141
26;40;50;1;0.795;0;3.171;4.761;3.966;5.954
27;40;50;1;0.799;0;2.926;4.421;3.725;5.627
28;40;50;1;0.796;0;3.177;4.762;3.973;5.956
29;40;50;1;0.800;0;3.136;4.701;3.936;5.901
30;40;50;1;0.803;0;3.228;4.812;4.031;6.010
31;40;50;1;0.802;0;3.426;5.174;4.227;6.386
32;40;50;1;0.792;0;2.896;4.338;3.688;5.525
33;40;50;1;0.796;0;3.094;4.679;3.890;5.883
34;40;50;1;0.802;0;3.123;4.678;3.925;5.879
35;40;50;1;0.799;0;3.284;4.887;4.083;6.077
36;40;50;1;0.792;0;3.016;4.538;3.807;5.730
37;40;50;1;0.805;0;3.549;5.313;4.354;6.518
38;40;50;1;0.802;0;3.048;4.568;3.851;5.770
39;40;50;1;0.803;0;3.216;4.792;4.019;5.988
40;40;50;1;0.806;0;3.253;4.840;4.059;6.039
41;40;50;1;0.801;0;3.166;4.754;3.966;5.956
42;40;50;1;0.795;0;3.176;4.787;3.972;5.987
43;40;50;1;0.802;0;3.418;5.137;4.220;6.342
44;40;50;1;0.809;0;3.636;5.485;4.445;6.706
45;40;50;1;0.801;0;3.268;4.880;4.069;6.076
46;40;50;1;0.800;0;3.037;4.545;3.837;5.744
47;40;50;1;0.810;0;3.401;5.114;4.211;6.333
48;40;50;1;0.804;0;3.322;4.995;4.126;6.204
49;40;50;1;0.797;0;2.967;4.418;3.764;5.605
0;80;50;2;0.796;0;2.621;1.971;4.214;3.169
1;80;50;2;0.807;0;3.034;2.271;4.649;3.480
2;80;50;2;0.804;0;2.871;2.151;4.479;3.356
3;80;50;2;0.806;0;3.018;2.244;4.630;3.443
4;80;50;2;0.798;0;2.762;2.077;4.359;3.278
5;80;50;2;0.794;0;2.958;2.228;4.547;3.424
6;80;50;2;0.800;0;2.874;2.161;4.473;3.365
7;80;50;2;0.799;0;2.804;2.097;4.402;3.292
