run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40;50;1;0.802;0;3.290;4.934;4.093;6.138
1;40;50;1;0.787;0;2.815;4.266;3.602;5.462
2;40;50;1;0.807;0;3.776;5.623;4.583;6.826
3;40;50;1;0.800;0;3.098;4.652;3.898;5.853
4;40;50;1;0.804;0;3.454;5.179;4.258;6.385
5;40;50;1;0.798;0;3.451;5.229;4.249;6.439
6;40;50;1;0.798;0;3.191;4.807;3.989;6.008
7;40;50;1;0.778;0;3.041;4.577;3.819;5.750
8;40;50;1;0.801;0;3.473;5.153;4.273;6.341
9;40;50;1;0.796;0;3.107;4.638;3.904;5.828
10;40;50;1;0.807;0;3.066;4.565;3.873;5.766
11;40;50;1;0.801;0;3.002;4.481;3.803;5.676
12;40;50;1;0.792;0;2.964;4.472;3.756;5.667
13;40;50;1;0.808;0;3.872;5.826;4.680;7.042
14;40;50;1;0.782;0;2.727;4.145;3.509;5.334
15;40;50;1;0.799;0;3.266;4.915;4.066;6.118
16;40;50;1;0.796;0;3.117;4.686;3.913;5.884
17;40;50;1;0.795;0;3.064;4.606;3.860;5.802
18;40;50;1;0.789;0;3.254;4.898;4.044;6.086
19;40;50;1;0.795;0;3.183;4.751;3.978;5.938
20;40;50;1;0.788;0;3.475;5.243;4.263;6.432
21;40;50;1;0.792;0;2.703;4.086;3.495;5.283
22;40;50;1;0.787;0;2.804;4.242;3.591;5.433
23;40;50;1;0.810;0;3.376;5.053;4.186;6.265
24;40;50;1;0.801;0;3.201;4.740;4.003;5.926
25;40;50;1;0.807;0;3.237;4.856;4.044;6.067
26;40;50;1;0.800;0;3.432;5.116;4.232;6.310
27;40;50;1;0.795;0;2.847;4.321;3.642;5.528
28;40;50;1;0.793;0;3.314;5.002;4.107;6.199
29;40;50;1;0.800;0;3.133;4.698;3.934;5.898
30;40;50;1;0.801;0;3.309;4.919;4.109;6.109
31;40;50;1;0.813;0;3.818;5.764;4.631;6.991
32;40;50;1;0.794;0;2.774;4.149;3.567;5.337
33;40;50;1;0.794;0;2.828;4.277;3.621;5.477
34;40;50;1;0.801;0;2.944;4.417;3.745;5.618
35;40;50;1;0.799;0;3.256;4.860;4.055;6.053
36;40;50;1;0.802;0;3.223;4.801;4.026;5.995
37;40;50;1;0.809;0;3.464;5.167;4.274;6.375
38;40;50;1;0.804;0;3.113;4.654;3.917;5.857
39;40;50;1;0.797;0;3.152;4.725;3.949;5.919
0;80;50;2;0.793;0;2.707;2.034;4.294;3.226
1;80;50;2;0.810;0;3.050;2.288;4.671;3.504
2;80;50;2;0.808;0;2.944;2.198;4.560;3.405
3;80;50;2;0.809;0;3.171;2.366;4.789;3.574
4;80;50;2;0.802;0;2.883;2.168;4.487;3.375
5;80;50;2;0.802;0;3.212;2.411;4.815;3.614
6;80;50;2;0.805;0;3.055;2.285;4.665;3.490
7;80;50;2;0.805;0;2.873;2.137;4.482;3.334
8;80;50;2;0.795;0;2.697;2.023;4.287;3.216
9;80;50;2;0.802;0;2.929;2.192;4.532;3.391
10;80;50;2;0.799;0;2.841;2.124;4.439;3.320
11;80;50;2;0.789;0;2.508;1.888;4.085;3.076
12;80;50;2;0.803;0;3.012;2.251;4.618;3.450
13;80;50;2;0.796;0;2.681;2.011;4.273;3.207
14;80;50;2;0.796;0;2.717;2.033;4.308;3.227
15;80;50;2;0.805;0;2.953;2.208;4.563;3.412
16;80;50;2;0.802;0;2.953;2.226;4.557;3.435
17;80;50;2;0.785;0;2.301;1.734;3.871;2.919
18;80;50;2;0.802;0;3.134;2.336;4.738;3.531
19;80;50;2;0.798;0;2.872;2.144;4.468;3.335
20;80;50;2;0.799;0;2.886;2.168;4.484;3.370
21;80;50;2;0.790;0;2.607;1.978;4.187;3.176
22;80;50;2;0.799;0;2.680;2.009;4.277;3.206
23;80;50;2;0.803;0;2.784;2.092;4.391;3.301
24;80;50;2;0.800;0;2.736;2.035;4.335;3.225
25;80;50;2;0.796;0;2.764;2.092;4.356;3.296
26;80;50;2;0.800;0;2.930;2.193;4.530;3.390
27;80;50;2;0.798;0;2.894;2.186;4.490;3.393
28;80;50;2;0.793;0;2.822;2.120;4.407;3.312
29;80;50;2;0.805;0;3.213;2.401;4.824;3.605
30;80;50;2;0.804;0;2.933;2.185;4.541;3.383
31;80;50;2;0.792;0;2.605;1.981;4.189;3.187
32;80;50;2;0.802;0;2.710;2.017;4.315;3.211
33;80;50;2;0.808;0;2.928;2.196;4.545;3.408
34;80;50;2;0.797;0;2.721;2.044;4.314;3.241
35;80;50;2;0.803;0;3.018;2.241;4.625;3.433
36;80;50;2;0.792;0;2.624;1.974;4.209;3.166
37;80;50;2;0.797;0;2.895;2.178;4.489;3.377
38;80;50;2;0.808;0;2.861;2.137;4.476;3.343
39;80;50;2;0.797;0;2.724;2.036;4.319;3.228
0;120;50;3;0.792;0;2.335;1.172;4.711;2.364
1;120;50;3;0.806;0;2.872;1.436;5.291;2.645
2;120;50;3;0.800;0;2.507;1.256;4.909;2.458
3;120;50;3;0.817;0;2.934;1.443;5.384;2.649
4;120;50;3;0.785;0;2.301;1.162;4.656;2.352
5;120;50;3;0.800;0;2.717;1.359;5.116;2.558
6;120;50;3;0.802;0;2.666;1.335;5.072;2.541
7;120;50;3;0.796;0;2.487;1.241;4.876;2.433
8;120;50;3;0.797;0;2.456;1.225;4.846;2.417
9;120;50;3;0.802;0;2.812;1.398;5.219;2.594
10;120;50;3;0.804;0;2.569;1.277;4.980;2.477
11;120;50;3;0.803;0;2.663;1.325;5.071;2.523
12;120;50;3;0.811;0;2.765;1.371;5.199;2.577
13;120;50;3;0.798;0;2.504;1.248;4.899;2.440
14;120;50;3;0.795;0;2.532;1.266;4.917;2.458
15;120;50;3;0.800;0;2.712;1.355;5.112;2.554
16;120;50;3;0.799;0;2.518;1.264;4.916;2.467
17;120;50;3;0.800;0;2.562;1.275;4.961;2.469
18;120;50;3;0.797;0;2.521;1.258;4.912;2.451
19;120;50;3;0.798;0;2.454;1.226;4.848;2.422
20;120;50;3;0.798;0;2.544;1.280;4.938;2.484
21;120;50;3;0.807;0;2.852;1.425;5.272;2.635
22;120;50;3;0.790;0;2.377;1.198;4.746;2.392
23;120;50;3;0.806;0;2.595;1.298;5.014;2.509
24;120;50;3;0.803;0;2.542;1.261;4.950;2.456
25;120;50;3;0.793;0;2.421;1.221;4.799;2.420
26;120;50;3;0.792;0;2.433;1.216;4.810;2.404
27;120;50;3;0.795;0;2.555;1.285;4.940;2.485
28;120;50;3;0.806;0;2.935;1.456;5.351;2.654
29;120;50;3;0.799;0;2.434;1.217;4.832;2.416
30;120;50;3;0.798;0;2.558;1.274;4.953;2.467
31;120;50;3;0.796;0;2.503;1.261;4.891;2.464
32;120;50;3;0.796;0;2.685;1.342;5.072;2.536
33;120;50;3;0.802;0;2.712;1.354;5.119;2.556
34;120;50;3;0.797;0;2.437;1.220;4.829;2.418
