,run,lambda,mu,c,Wq,Lq
0,0,0.8,0.8333333333333334,1,53.36778266049681,43.26584751458217
1,1,0.8,0.8333333333333334,1,33.1960579252761,26.66853529649461
2,2,0.8,0.8333333333333334,1,25.51259215021309,20.454742032278453
3,3,0.8,0.8333333333333334,1,15.170627047495596,12.03980967775818
4,4,0.8,0.8333333333333334,1,14.890698526915955,11.752147225161385
5,5,0.8,0.8333333333333334,1,16.394008611329216,12.833229940948415
6,6,0.8,0.8333333333333334,1,22.449972498914658,18.31671361765852
7,7,0.8,0.8333333333333334,1,26.44408475316927,21.70657794164639
8,8,0.8,0.8333333333333334,1,11.73038018854214,9.389361261840548
9,9,0.8,0.8333333333333334,1,15.295509924959301,12.376911212891537
10,10,0.8,0.8333333333333334,1,23.90118370697493,19.164541651706973
11,11,0.8,0.8333333333333334,1,25.037287866963432,20.03247983977801
12,12,0.8,0.8333333333333334,1,25.431266880608298,20.07100789646607
13,13,0.8,0.8333333333333334,1,10.164820402323556,8.099904908598619
14,14,0.8,0.8333333333333334,1,41.550900322207546,33.008035215961655
15,15,0.8,0.8333333333333334,1,35.88694649432928,28.449425341760286
16,16,0.8,0.8333333333333334,1,29.682778942566173,23.808371586382865
17,17,0.8,0.8333333333333334,1,27.497997201363145,22.258242983710428
18,18,0.8,0.8333333333333334,1,27.201140446046423,22.000361482685438
19,19,0.8,0.8333333333333334,1,26.12877446886059,21.190514533896923
20,0,1.6,0.8333333333333334,2,11.0745156367278,17.788751468068906
21,1,1.6,0.8333333333333334,2,10.428531963693322,16.79089011130428
22,2,1.6,0.8333333333333334,2,52.249044283192276,85.44300103126002
23,3,1.6,0.8333333333333334,2,9.77742482524341,15.589302860184732
24,4,1.6,0.8333333333333334,2,8.064986939635476,12.754869805792845
25,5,1.6,0.8333333333333334,2,13.605662423555923,21.535840948297864
26,6,1.6,0.8333333333333334,2,16.348074028394535,26.121116252583526
27,7,1.6,0.8333333333333334,2,12.324493114460353,19.91638087296795
28,8,1.6,0.8333333333333334,2,27.56282220671773,45.12375190579724
29,9,1.6,0.8333333333333334,2,21.67377731676076,35.26063446529913
30,10,1.6,0.8333333333333334,2,9.011232599152855,14.539009739154327
31,11,1.6,0.8333333333333334,2,11.777998758060344,18.932422778795974
32,12,1.6,0.8333333333333334,2,9.057270166967582,14.35670357555491
33,13,1.6,0.8333333333333334,2,15.404556879312732,24.739718348176257
34,14,1.6,0.8333333333333334,2,12.859415196630877,20.410893007016313
35,15,1.6,0.8333333333333334,2,9.333623694752443,14.893764303058875
36,16,1.6,0.8333333333333334,2,10.834719696918418,17.025678531737565
37,17,1.6,0.8333333333333334,2,13.848144481865999,22.349121594789793
38,18,1.6,0.8333333333333334,2,10.561030431402942,16.83771783860094
39,19,1.6,0.8333333333333334,2,11.700483959873967,18.735349536258777
40,0,2.4000000000000004,0.8333333333333334,3,8.290428773770953,19.87446944259742
41,1,2.4000000000000004,0.8333333333333334,3,10.079510907423698,24.239207830172425
42,2,2.4000000000000004,0.8333333333333334,3,8.663590754479653,20.86267617417886
43,3,2.4000000000000004,0.8333333333333334,3,13.836902937200213,33.43275135940307
44,4,2.4000000000000004,0.8333333333333334,3,5.913119131951241,14.005813975939772
45,5,2.4000000000000004,0.8333333333333334,3,14.615396649787975,34.98449263270213
46,6,2.4000000000000004,0.8333333333333334,3,8.581295383959523,20.417125714008712
47,7,2.4000000000000004,0.8333333333333334,3,7.82604843244325,18.976602238988374
48,8,2.4000000000000004,0.8333333333333334,3,9.757574195552548,23.971736692571124
49,9,2.4000000000000004,0.8333333333333334,3,12.374476835804842,29.9829868185983
50,10,2.4000000000000004,0.8333333333333334,3,13.303823208820766,32.209683861227354
51,11,2.4000000000000004,0.8333333333333334,3,5.708173665444636,13.672217563472923
52,12,2.4000000000000004,0.8333333333333334,3,5.725334868001007,13.692721289404004
53,13,2.4000000000000004,0.8333333333333334,3,8.33570295788403,19.742892753444185
54,14,2.4000000000000004,0.8333333333333334,3,11.283092809589661,27.18394165574655
55,15,2.4000000000000004,0.8333333333333334,3,3.176012477251263,7.423160759964626
