,run,lambda,mu,c,Wq,Lq
0,0,0.6666666666666666,0.8333333333333334,1,4.051828981991905,2.6659457656026255
1,1,0.6666666666666666,0.8333333333333334,1,4.524430705679592,3.000383266920492
2,2,0.6666666666666666,0.8333333333333334,1,4.7765589151131085,3.1852384900891177
3,3,0.6666666666666666,0.8333333333333334,1,4.5910955409707155,3.1157937594727434
4,4,0.6666666666666666,0.8333333333333334,1,5.360447697010059,3.5850674197603354
5,5,0.6666666666666666,0.8333333333333334,1,6.150497282083553,4.03231036905766
6,6,0.6666666666666666,0.8333333333333334,1,3.993925925102522,2.6101977536646808
7,7,0.6666666666666666,0.8333333333333334,1,3.6714492217882237,2.427451543621997
8,8,0.6666666666666666,0.8333333333333334,1,5.856783592056598,3.923022574287723
9,9,0.6666666666666666,0.8333333333333334,1,5.8002814703624015,3.9873592919516967
10,10,0.6666666666666666,0.8333333333333334,1,3.477820060382594,2.3063976122651217
11,11,0.6666666666666666,0.8333333333333334,1,3.841411466744686,2.5354532943783172
12,12,0.6666666666666666,0.8333333333333334,1,4.387334155958003,2.871048934068695
13,13,0.6666666666666666,0.8333333333333334,1,3.7012842578639216,2.4961860871032155
14,14,0.6666666666666666,0.8333333333333334,1,3.163866724076652,2.0315329695631568
15,15,0.6666666666666666,0.8333333333333334,1,4.597960069835513,2.992052271320074
16,16,0.6666666666666666,0.8333333333333334,1,4.381576603882632,2.8202953701919307
17,17,0.6666666666666666,0.8333333333333334,1,4.855026685763616,3.2850504452206004
18,18,0.6666666666666666,0.8333333333333334,1,4.616090623058169,3.03108332079591
19,19,0.6666666666666666,0.8333333333333334,1,6.555643168459688,4.501175661534376
20,0,1.3333333333333333,0.8333333333333334,2,1.9149771007959406,2.5825381181334093
21,1,1.3333333333333333,0.8333333333333334,2,2.228899807631167,3.0176225650687676
22,2,1.3333333333333333,0.8333333333333334,2,1.9314207768591964,2.613778297071981
23,3,1.3333333333333333,0.8333333333333334,2,1.7786616197944878,2.3557190735270988
24,4,1.3333333333333333,0.8333333333333334,2,1.920119553489058,2.563359603907875
25,5,1.3333333333333333,0.8333333333333334,2,2.9341736814082435,3.893586696700249
26,6,1.3333333333333333,0.8333333333333334,2,1.8611462416541908,2.448523995520259
