run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
14;120;50;3;0.795;0;2.554;1.281;4.938;2.477
15;120;50;3;0.790;0;2.722;1.371;5.092;2.564
16;120;50;3;0.798;0;2.660;1.331;5.053;2.529
17;120;50;3;0.797;0;2.446;1.220;4.836;2.411
18;120;50;3;0.801;0;2.518;1.254;4.921;2.452
19;120;50;3;0.790;0;2.192;1.096;4.561;2.280
20;120;50;3;0.801;0;2.690;1.341;5.094;2.540
21;120;50;3;0.800;0;2.572;1.292;4.972;2.497
22;120;50;3;0.790;0;2.236;1.123;4.605;2.313
23;120;50;3;0.810;0;2.855;1.424;5.284;2.636
24;120;50;3;0.805;0;2.622;1.293;5.038;2.484
25;120;50;3;0.801;0;2.375;1.192;4.780;2.400
26;120;50;3;0.794;0;2.554;1.275;4.936;2.465
27;120;50;3;0.786;0;2.058;1.045;4.417;2.244
28;120;50;3;0.803;0;2.531;1.264;4.941;2.468
29;120;50;3;0.802;0;2.644;1.321;5.050;2.524
30;120;50;3;0.790;0;2.471;1.232;4.840;2.415
31;120;50;3;0.796;0;2.803;1.422;5.191;2.634
32;120;50;3;0.795;0;2.512;1.254;4.897;2.446
33;120;50;3;0.810;0;2.831;1.411;5.259;2.621
34;120;50;3;0.797;0;2.455;1.229;4.846;2.425
35;120;50;3;0.804;0;2.845;1.409;5.256;2.603
36;120;50;3;0.799;0;2.372;1.185;4.768;2.382
37;120;50;3;0.813;0;2.724;1.355;5.163;2.567
38;120;50;3;0.804;0;2.776;1.383;5.188;2.585
39;120;50;3;0.803;0;2.980;1.480;5.390;2.677
0;160;50;4;0.794;0;2.358;0.886;5.533;2.078
1;160;50;4;0.807;0;2.858;1.074;6.086;2.287
2;160;50;4;0.800;0;2.438;0.915;5.636;2.115
3;160;50;4;0.811;0;2.672;1.000;5.915;2.213
4;160;50;4;0.794;0;2.343;0.884;5.521;2.084
5;160;50;4;0.799;0;2.447;0.922;5.644;2.128
6;160;50;4;0.801;0;2.413;0.907;5.615;2.110
7;160;50;4;0.813;0;2.502;0.926;5.753;2.130
8;160;50;4;0.799;0;2.308;0.861;5.504;2.053
9;160;50;4;0.800;0;2.257;0.845;5.456;2.043
10;160;50;4;0.809;0;2.709;1.006;5.946;2.208
11;160;50;4;0.793;0;2.304;0.865;5.474;2.057
12;160;50;4;0.798;0;2.197;0.824;5.390;2.021
13;160;50;4;0.803;0;2.410;0.905;5.622;2.112
14;160;50;4;0.794;0;2.298;0.862;5.474;2.054
15;160;50;4;0.797;0;2.407;0.903;5.593;2.099
16;160;50;4;0.797;0;2.054;0.773;5.241;1.972
17;160;50;4;0.799;0;2.514;0.941;5.711;2.137
18;160;50;4;0.804;0;2.405;0.895;5.620;2.092
19;160;50;4;0.798;0;2.362;0.880;5.556;2.071
20;160;50;4;0.806;0;2.762;1.033;5.985;2.240
21;160;50;4;0.798;0;2.453;0.925;5.644;2.129
22;160;50;4;0.792;0;2.136;0.805;5.306;1.998
23;160;50;4;0.800;0;2.315;0.870;5.516;2.072
24;160;50;4;0.803;0;2.314;0.857;5.526;2.046
25;160;50;4;0.797;0;2.214;0.836;5.401;2.040
26;160;50;4;0.797;0;2.406;0.900;5.594;2.094
27;160;50;4;0.797;0;2.289;0.865;5.477;2.071
28;160;50;4;0.793;0;2.263;0.851;5.436;2.044
29;160;50;4;0.799;0;2.367;0.886;5.562;2.081
30;160;50;4;0.794;0;2.192;0.817;5.367;2.004
31;160;50;4;0.801;0;2.455;0.930;5.658;2.143
32;160;50;4;0.792;0;1.954;0.728;5.120;1.913
33;160;50;4;0.799;0;2.189;0.826;5.385;2.032
34;160;50;4;0.799;0;2.488;0.933;5.684;2.131
35;160;50;4;0.804;0;2.358;0.876;5.573;2.070
36;160;50;4;0.789;0;2.445;0.923;5.601;2.115
37;160;50;4;0.803;0;2.424;0.910;5.638;2.115
38;160;50;4;0.796;0;2.264;0.852;5.448;2.049
39;160;50;4;0.783;0;1.986;0.748;5.119;1.928
0;200;50;5;0.798;0;2.129;0.638;6.118;1.834
1;200;50;5;0.795;0;2.258;0.684;6.233;1.889
2;200;50;5;0.795;0;2.266;0.683;6.243;1.881
3;200;50;5;0.803;0;2.388;0.715;6.406;1.919
4;200;50;5;0.791;0;2.144;0.649;6.101;1.848
5;200;50;5;0.787;0;1.992;0.604;5.927;1.796
6;200;50;5;0.803;0;2.380;0.713;6.393;1.916
7;200;50;5;0.807;0;2.276;0.676;6.312;1.876
8;200;50;5;0.811;0;2.224;0.661;6.277;1.865
9;200;50;5;0.799;0;2.141;0.642;6.135;1.839
10;200;50;5;0.803;0;2.464;0.735;6.480;1.934
11;200;50;5;0.800;0;2.214;0.662;6.214;1.858
12;200;50;5;0.798;0;2.017;0.604;6.005;1.800
13;200;50;5;0.795;0;2.090;0.628;6.064;1.822
14;200;50;5;0.788;0;2.009;0.606;5.949;1.793
15;200;50;5;0.794;0;2.209;0.665;6.178;1.861
16;200;50;5;0.800;0;2.142;0.647;6.140;1.854
17;200;50;5;0.801;0;2.355;0.703;6.359;1.900
18;200;50;5;0.802;0;2.352;0.701;6.364;1.896
19;200;50;5;0.795;0;1.962;0.585;5.939;1.775
20;200;50;5;0.791;0;2.041;0.617;5.995;1.813
21;200;50;5;0.799;0;2.305;0.696;6.299;1.902
22;200;50;5;0.802;0;2.221;0.664;6.233;1.865
23;200;50;5;0.809;0;2.190;0.656;6.238;1.869
24;200;50;5;0.798;0;2.198;0.655;6.188;1.843
25;200;50;5;0.800;0;2.326;0.702;6.326;1.910
26;200;50;5;0.801;0;2.212;0.661;6.218;1.860
27;200;50;5;0.796;0;2.189;0.663;6.169;1.867
28;200;50;5;0.801;0;2.450;0.732;6.457;1.930
29;200;50;5;0.800;0;2.107;0.632;6.109;1.832
30;200;50;5;0.794;0;2.037;0.611;6.009;1.801
31;200;50;5;0.805;0;2.511;0.758;6.536;1.973
32;200;50;5;0.796;0;2.088;0.624;6.071;1.814
33;200;50;5;0.787;0;2.000;0.608;5.937;1.805
34;200;50;5;0.804;0;2.432;0.728;6.454;1.931
35;200;50;5;0.797;0;2.342;0.698;6.327;1.886
36;200;50;5;0.793;0;2.104;0.633;6.071;1.826
37;200;50;5;0.794;0;2.269;0.684;6.240;1.881
38;200;50;5;0.815;0;2.710;0.806;6.785;2.019
39;200;50;5;0.797;0;2.053;0.614;6.037;1.806
0;240;50;6;0.798;0;1.957;0.488;6.745;1.682
1;240;50;6;0.804;0;2.368;0.593;7.195;1.802
2;240;50;6;0.793;0;2.011;0.505;6.771;1.702
3;240;50;6;0.804;0;2.061;0.512;6.884;1.712
4;240;50;6;0.796;0;2.003;0.503;6.779;1.704
5;240;50;6;0.804;0;2.398;0.598;7.223;1.801
6;240;50;6;0.803;0;2.156;0.539;6.977;1.743
7;240;50;6;0.807;0;2.073;0.514;6.917;1.715
8;240;50;6;0.803;0;2.201;0.546;7.018;1.743
9;240;50;6;0.809;0;2.250;0.557;7.102;1.758
10;240;50;6;0.808;0;2.266;0.561;7.116;1.762
11;240;50;6;0.802;0;2.072;0.516;6.881;1.714
12;240;50;6;0.804;0;2.075;0.516;6.898;1.715
13;240;50;6;0.796;0;2.019;0.505;6.795;1.701
14;240;50;6;0.795;0;1.958;0.489;6.731;1.681
15;240;50;6;0.798;0;2.116;0.528;6.906;1.728
16;240;50;6;0.810;0;2.464;0.616;7.323;1.830
17;240;50;6;0.798;0;2.122;0.529;6.910;1.722
18;240;50;6;0.799;0;2.168;0.539;6.964;1.732
19;240;50;6;0.800;0;2.286;0.569;7.084;1.762
20;240;50;6;0.802;0;2.180;0.546;6.994;1.753
21;240;50;6;0.798;0;2.013;0.506;6.798;1.709
22;240;50;6;0.796;0;2.050;0.515;6.829;1.714
23;240;50;6;0.807;0;2.147;0.537;6.988;1.747
24;240;50;6;0.804;0;2.084;0.516;6.907;1.712
25;240;50;6;0.789;0;1.866;0.472;6.598;1.670
26;240;50;6;0.799;0;2.058;0.513;6.850;1.709
27;240;50;6;0.797;0;2.064;0.520;6.848;1.725
28;240;50;6;0.794;0;2.027;0.507;6.793;1.699
29;240;50;6;0.791;0;1.871;0.469;6.616;1.659
30;240;50;6;0.799;0;1.961;0.488;6.755;1.681
31;240;50;6;0.798;0;2.118;0.534;6.905;1.741
32;240;50;6;0.789;0;1.764;0.442;6.500;1.631
33;240;50;6;0.799;0;2.297;0.577;7.094;1.783
34;240;50;6;0.799;0;2.105;0.527;6.899;1.727
35;240;50;6;0.800;0;2.167;0.538;6.965;1.728
36;240;50;6;0.794;0;2.100;0.526;6.864;1.720
37;240;50;6;0.801;0;2.032;0.508;6.838;1.711
38;240;50;6;0.808;0;2.420;0.602;7.270;1.808
39;240;50;6;0.798;0;2.140;0.533;6.931;1.727
0;280;50;7;0.798;0;1.833;0.392;7.418;1.588
1;280;50;7;0.800;0;1.951;0.420;7.550;1.624
2;280;50;7;0.791;0;1.810;0.391;7.348;1.587
3;280;50;7;0.807;0;2.243;0.475;7.889;1.672
4;280;50;7;0.785;0;1.776;0.385;7.271;1.575
5;280;50;7;0.797;0;1.966;0.422;7.542;1.619
6;280;50;7;0.799;0;1.767;0.380;7.363;1.583
7;280;50;7;0.800;0;1.803;0.384;7.404;1.580
8;280;50;7;0.813;0;2.370;0.501;8.060;1.705
9;280;50;7;0.806;0;2.084;0.443;7.724;1.641
10;280;50;7;0.799;0;1.836;0.392;7.428;1.587
11;280;50;7;0.799;0;1.920;0.410;7.516;1.605
12;280;50;7;0.799;0;1.926;0.412;7.517;1.609
13;280;50;7;0.796;0;1.948;0.417;7.518;1.609
14;280;50;7;0.795;0;1.972;0.422;7.541;1.615
15;280;50;7;0.803;0;2.161;0.461;7.782;1.661
16;280;50;7;0.805;0;2.066;0.443;7.703;1.652
17;280;50;7;0.801;0;1.758;0.375;7.364;1.570
18;280;50;7;0.801;0;1.998;0.426;7.604;1.623
19;280;50;7;0.797;0;1.916;0.411;7.494;1.606
20;280;50;7;0.800;0;1.920;0.413;7.516;1.618
21;280;50;7;0.795;0;1.734;0.374;7.299;1.575
22;280;50;7;0.801;0;1.887;0.405;7.497;1.610
23;280;50;7;0.805;0;2.073;0.445;7.709;1.655
24;280;50;7;0.797;0;1.957;0.417;7.539;1.606
25;280;50;7;0.800;0;2.062;0.444;7.660;1.649
26;280;50;7;0.799;0;2.043;0.436;7.634;1.630
27;280;50;7;0.796;0;1.992;0.430;7.566;1.632
28;280;50;7;0.799;0;1.992;0.426;7.585;1.621
29;280;50;7;0.797;0;1.708;0.366;7.284;1.563
30;280;50;7;0.793;0;1.633;0.349;7.184;1.538
31;280;50;7;0.802;0;2.139;0.460;7.755;1.671
32;280;50;7;0.791;0;1.825;0.392;7.361;1.581
33;280;50;7;0.804;0;2.013;0.431;7.641;1.635
34;280;50;7;0.803;0;2.019;0.432;7.643;1.634
35;280;50;7;0.800;0;1.973;0.420;7.571;1.610
36;280;50;7;0.801;0;2.143;0.457;7.754;1.655
37;280;50;7;0.796;0;2.014;0.434;7.583;1.634
38;280;50;7;0.807;0;2.098;0.447;7.745;1.650
39;280;50;7;0.793;0;1.773;0.380;7.328;1.571
0;320;50;8;0.797;0;1.814;0.340;8.191;1.537
1;320;50;8;0.795;0;1.767;0.333;8.130;1.535
2;320;50;8;0.797;0;1.849;0.348;8.223;1.548
3;320;50;8;0.806;0;1.790;0.333;8.235;1.532
4;320;50;8;0.783;0;1.567;0.297;7.832;1.486
5;320;50;8;0.792;0;1.708;0.321;8.044;1.514
6;320;50;8;0.807;0;2.015;0.377;8.475;1.586
7;320;50;8;0.800;0;1.919;0.358;8.320;1.553
8;320;50;8;0.803;0;1.860;0.346;8.285;1.543
9;320;50;8;0.809;0;1.916;0.356;8.390;1.558
10;320;50;8;0.800;0;1.794;0.335;8.197;1.533
11;320;50;8;0.797;0;1.770;0.331;8.146;1.525
12;320;50;8;0.802;0;1.814;0.339;8.227;1.539
13;320;50;8;0.793;0;1.656;0.311;7.998;1.501
14;320;50;8;0.792;0;1.690;0.318;8.024;1.508
15;320;50;8;0.805;0;1.940;0.363;8.376;1.566
16;320;50;8;0.806;0;2.053;0.384;8.505;1.592
17;320;50;8;0.807;0;2.101;0.391;8.554;1.593
18;320;50;8;0.802;0;1.988;0.371;8.406;1.570
19;320;50;8;0.806;0;2.087;0.389;8.536;1.592
20;320;50;8;0.800;0;1.852;0.349;8.251;1.553
21;320;50;8;0.800;0;1.895;0.357;8.297;1.561
22;320;50;8;0.794;0;1.702;0.321;8.051;1.520
23;320;50;8;0.807;0;1.702;0.319;8.158;1.531
24;320;50;8;0.804;0;2.157;0.401;8.591;1.597
25;320;50;8;0.798;0;1.745;0.328;8.130;1.530
26;320;50;8;0.794;0;1.943;0.364;8.293;1.553
27;320;50;8;0.799;0;1.819;0.342;8.210;1.546
28;320;50;8;0.796;0;1.884;0.353;8.250;1.544
29;320;50;8;0.796;0;1.670;0.314;8.037;1.512
30;320;50;8;0.797;0;1.729;0.323;8.104;1.517
31;320;50;8;0.795;0;1.615;0.305;7.975;1.506
32;320;50;8;0.794;0;1.703;0.320;8.053;1.512
33;320;50;8;0.795;0;1.906;0.359;8.266;1.556
34;320;50;8;0.809;0;2.200;0.411;8.672;1.619
35;320;50;8;0.797;0;1.758;0.327;8.136;1.515
36;320;50;8;0.795;0;1.888;0.354;8.250;1.545
37;320;50;8;0.798;0;1.897;0.357;8.284;1.561
38;320;50;8;0.804;0;1.850;0.346;8.286;1.549
39;320;50;8;0.802;0;1.823;0.340;8.238;1.537
0;360;50;9;0.801;0;1.707;0.284;8.920;1.485
1;360;50;9;0.796;0;1.518;0.254;8.682;1.454
2;360;50;9;0.793;0;1.557;0.261;8.694;1.458
3;360;50;9;0.804;0;1.868;0.309;9.107;1.507
4;360;50;9;0.790;0;1.565;0.263;8.674;1.457
5;360;50;9;0.786;0;1.320;0.222;8.394;1.411
6;360;50;9;0.808;0;1.929;0.321;9.200;1.529
7;360;50;9;0.798;0;1.594;0.265;8.773;1.458
8;360;50;9;0.807;0;1.927;0.318;9.192;1.518
9;360;50;9;0.802;0;1.653;0.274;8.872;1.471
10;360;50;9;0.803;0;1.716;0.284;8.946;1.483
11;360;50;9;0.796;0;1.728;0.288;8.893;1.482
12;360;50;9;0.794;0;1.583;0.265;8.730;1.460
13;360;50;9;0.805;0;1.956;0.324;9.197;1.522
14;360;50;9;0.792;0;1.860;0.310;8.989;1.500
15;360;50;9;0.805;0;1.782;0.296;9.028;1.500
16;360;50;9;0.808;0;1.844;0.307;9.116;1.516
17;360;50;9;0.798;0;1.733;0.289;8.913;1.485
18;360;50;9;0.796;0;1.529;0.255;8.691;1.450
19;360;50;9;0.803;0;1.801;0.299;9.027;1.500
20;360;50;9;0.797;0;1.877;0.315;9.048;1.518
21;360;50;9;0.805;0;1.907;0.318;9.148;1.525
22;360;50;9;0.803;0;1.857;0.310;9.081;1.514
23;360;50;9;0.809;0;1.773;0.295;9.051;1.508
24;360;50;9;0.801;0;1.818;0.301;9.024;1.495
25;360;50;9;0.803;0;1.879;0.313;9.108;1.519
26;360;50;9;0.797;0;1.706;0.283;8.883;1.475
27;360;50;9;0.792;0;1.491;0.250;8.623;1.449
28;360;50;9;0.790;0;1.531;0.256;8.638;1.443
29;360;50;9;0.798;0;1.717;0.286;8.902;1.484
30;360;50;9;0.800;0;1.821;0.302;9.017;1.495
31;360;50;9;0.798;0;1.760;0.295;8.941;1.498
32;360;50;9;0.799;0;1.816;0.302;9.010;1.497
33;360;50;9;0.799;0;1.736;0.289;8.931;1.487
34;360;50;9;0.804;0;1.754;0.292;8.992;1.495
35;360;50;9;0.798;0;1.557;0.258;8.742;1.450
36;360;50;9;0.799;0;1.746;0.291;8.934;1.487
37;360;50;9;0.799;0;1.857;0.311;9.050;1.518
38;360;50;9;0.807;0;1.925;0.319;9.188;1.523
39;360;50;9;0.796;0;1.610;0.268;8.773;1.459
0;400;50;10;0.797;0;1.478;0.222;9.447;1.420
1;400;50;10;0.800;0;1.664;0.250;9.662;1.453
2;400;50;10;0.793;0;1.482;0.224;9.410;1.420
3;400;50;10;0.809;0;1.933;0.287;10.020;1.488
4;400;50;10;0.789;0;1.428;0.216;9.320;1.410
5;400;50;10;0.795;0;1.674;0.252;9.623;1.449
6;400;50;10;0.799;0;1.453;0.219;9.443;1.421
7;400;50;10;0.796;0;1.480;0.222;9.440;1.415
8;400;50;10;0.798;0;1.639;0.245;9.615;1.438
9;400;50;10;0.799;0;1.673;0.250;9.665;1.446
10;400;50;10;0.800;0;1.767;0.264;9.769;1.460
11;400;50;10;0.804;0;1.789;0.268;9.834;1.471
12;400;50;10;0.799;0;1.634;0.246;9.619;1.446
13;400;50;10;0.797;0;1.611;0.241;9.577;1.434
14;400;50;10;0.793;0;1.685;0.253;9.615;1.444
15;400;50;10;0.809;0;1.905;0.284;9.999;1.490
16;400;50;10;0.806;0;1.786;0.267;9.841;1.475
17;400;50;10;0.798;0;1.527;0.229;9.502;1.426
18;400;50;10;0.802;0;1.691;0.253;9.714;1.453
19;400;50;10;0.801;0;1.607;0.240;9.619;1.439
20;400;50;10;0.799;0;1.566;0.236;9.560;1.440
21;400;50;10;0.803;0;1.636;0.246;9.666;1.453
22;400;50;10;0.802;0;1.704;0.256;9.726;1.459
23;400;50;10;0.805;0;1.763;0.265;9.818;1.474
24;400;50;10;0.801;0;1.718;0.256;9.727;1.451
25;400;50;10;0.799;0;1.633;0.245;9.627;1.446
26;400;50;10;0.793;0;1.475;0.221;9.409;1.409
27;400;50;10;0.795;0;1.515;0.228;9.469;1.428
28;400;50;10;0.791;0;1.611;0.242;9.525;1.432
29;400;50;10;0.797;0;1.704;0.256;9.675;1.453
30;400;50;10;0.795;0;1.405;0.210;9.359;1.400
31;400;50;10;0.795;0;1.572;0.237;9.524;1.439
32;400;50;10;0.795;0;1.543;0.231;9.497;1.423
33;400;50;10;0.802;0;1.805;0.270;9.826;1.469
34;400;50;10;0.802;0;1.653;0.248;9.669;1.449
35;400;50;10;0.800;0;1.674;0.250;9.671;1.442
36;400;50;10;0.793;0;1.532;0.230;9.461;1.423
37;400;50;10;0.795;0;1.456;0.220;9.405;1.422
38;400;50;10;0.806;0;1.812;0.271;9.869;1.475
39;400;50;10;0.803;0;1.567;0.234;9.595;1.432
