run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40;50;1;0.807;0;3.112;4.618;3.918;5.815
1;40;50;1;0.790;0;2.799;4.210;3.589;5.399
2;40;50;1;0.815;0;3.986;5.875;4.801;7.077
3;40;50;1;0.807;0;3.305;4.956;4.112;6.167
4;40;50;1;0.813;0;3.760;5.605;4.572;6.816
5;40;50;1;0.810;0;4.281;6.429;5.092;7.646
6;40;50;1;0.790;0;2.862;4.340;3.652;5.539
7;40;50;1;0.754;0;2.225;3.418;2.978;4.576
8;40;50;1;0.790;0;3.673;5.470;4.463;6.647
9;40;50;1;0.807;0;3.587;5.317;4.394;6.514
10;40;50;1;0.788;0;2.992;4.500;3.780;5.685
11;40;50;1;0.786;0;2.865;4.314;3.651;5.498
12;40;50;1;0.782;0;2.827;4.285;3.609;5.476
13;40;50;1;0.800;0;3.326;4.998;4.126;6.201
14;40;50;1;0.772;0;2.254;3.475;3.026;4.667
15;40;50;1;0.792;0;3.033;4.596;3.825;5.797
16;40;50;1;0.786;0;2.853;4.346;3.640;5.544
17;40;50;1;0.797;0;3.223;4.850;4.020;6.050
18;40;50;1;0.789;0;3.333;5.000;4.123;6.187
19;40;50;1;0.800;0;3.581;5.318;4.381;6.507
20;40;50;1;0.791;0;3.832;5.751;4.623;6.938
21;40;50;1;0.795;0;2.988;4.509;3.784;5.709
22;40;50;1;0.767;0;2.193;3.379;2.960;4.561
23;40;50;1;0.802;0;3.372;5.027;4.174;6.223
24;40;50;1;0.810;0;3.330;4.873;4.141;6.060
25;40;50;1;0.795;0;3.219;4.904;4.013;6.115
26;40;50;1;0.796;0;2.773;4.167;3.569;5.363
27;40;50;1;0.789;0;2.740;4.181;3.529;5.386
28;40;50;1;0.797;0;3.610;5.455;4.407;6.659
29;40;50;1;0.798;0;3.110;4.677;3.909;5.877
30;40;50;1;0.796;0;3.253;4.833;4.049;6.017
31;40;50;1;0.822;0;4.836;7.306;5.658;8.548
32;40;50;1;0.786;0;2.661;3.963;3.447;5.134
33;40;50;1;0.792;0;2.484;3.759;3.277;4.960
34;40;50;1;0.788;0;2.500;3.755;3.288;4.938
35;40;50;1;0.790;0;3.003;4.486;3.793;5.672
36;40;50;1;0.783;0;2.873;4.316;3.657;5.493
37;40;50;1;0.791;0;3.040;4.608;3.832;5.807
38;40;50;1;0.809;0;3.095;4.608;3.903;5.813
39;40;50;1;0.804;0;3.194;4.732;3.998;5.924
0;80;50;2;0.783;0;2.326;1.758;3.892;2.941
1;80;50;2;0.814;0;2.985;2.223;4.613;3.436
2;80;50;2;0.807;0;2.979;2.226;4.593;3.432
3;80;50;2;0.807;0;3.044;2.269;4.658;3.471
4;80;50;2;0.805;0;2.719;2.040;4.330;3.249
5;80;50;2;0.804;0;3.496;2.634;5.105;3.847
6;80;50;2;0.793;0;2.491;1.886;4.078;3.089
7;80;50;2;0.796;0;2.679;1.999;4.271;3.187
8;80;50;2;0.789;0;2.921;2.185;4.500;3.367
9;80;50;2;0.800;0;2.839;2.121;4.439;3.317
10;80;50;2;0.801;0;2.714;2.019;4.315;3.210
11;80;50;2;0.787;0;2.502;1.876;4.075;3.056
12;80;50;2;0.805;0;3.185;2.383;4.795;3.588
13;80;50;2;0.802;0;2.846;2.149;4.451;3.361
14;80;50;2;0.791;0;2.700;2.042;4.283;3.240
15;80;50;2;0.811;0;3.130;2.337;4.752;3.550
16;80;50;2;0.798;0;2.714;2.048;4.309;3.253
17;80;50;2;0.799;0;2.657;1.984;4.255;3.180
18;80;50;2;0.809;0;3.120;2.323;4.739;3.528
19;80;50;2;0.796;0;2.837;2.121;4.428;3.311
20;80;50;2;0.797;0;2.875;2.164;4.470;3.364
21;80;50;2;0.797;0;2.741;2.063;4.336;3.263
22;80;50;2;0.792;0;2.482;1.882;4.067;3.083
23;80;50;2;0.803;0;3.106;2.342;4.713;3.553
24;80;50;2;0.796;0;2.598;1.926;4.190;3.106
25;80;50;2;0.803;0;2.816;2.114;4.422;3.320
26;80;50;2;0.808;0;3.236;2.397;4.853;3.596
27;80;50;2;0.804;0;2.769;2.093;4.377;3.310
28;80;50;2;0.790;0;2.726;2.061;4.305;3.257
29;80;50;2;0.793;0;2.952;2.214;4.537;3.404
30;80;50;2;0.793;0;2.835;2.112;4.421;3.294
31;80;50;2;0.805;0;2.713;2.059;4.323;3.281
32;80;50;2;0.808;0;2.909;2.155;4.525;3.352
33;80;50;2;0.806;0;2.887;2.164;4.500;3.372
34;80;50;2;0.779;0;2.445;1.856;4.003;3.039
35;80;50;2;0.798;0;2.477;1.848;4.074;3.038
36;80;50;2;0.793;0;2.731;2.042;4.316;3.227
37;80;50;2;0.788;0;2.568;1.941;4.144;3.132
38;80;50;2;0.798;0;2.741;2.061;4.336;3.261
39;80;50;2;0.797;0;3.059;2.293;4.654;3.488
0;120;50;3;0.781;0;2.118;1.068;4.460;2.250
1;120;50;3;0.804;0;2.820;1.411;5.234;2.619
2;120;50;3;0.798;0;2.511;1.254;4.906;2.450
3;120;50;3;0.811;0;2.689;1.337;5.121;2.546
4;120;50;3;0.790;0;2.458;1.239;4.828;2.434
5;120;50;3;0.800;0;2.546;1.281;4.947;2.491
6;120;50;3;0.815;0;3.143;1.557;5.587;2.767
7;120;50;3;0.790;0;2.551;1.280;4.921;2.470
8;120;50;3;0.791;0;2.437;1.215;4.810;2.400
9;120;50;3;0.799;0;3.003;1.497;5.400;2.693
10;120;50;3;0.811;0;2.591;1.281;5.023;2.484
11;120;50;3;0.799;0;2.550;1.268;4.947;2.465
12;120;50;3;0.801;0;2.517;1.254;4.919;2.451
13;120;50;3;0.807;0;2.751;1.377;5.171;2.588
