,run,lambda,mu,c,Wq,Lq
0,0,0.8,0.8333333333333334,1,29.018180322155313,23.411807773648462
1,1,0.8,0.8333333333333334,1,20.34717102503782,16.112781033547275
2,2,0.8,0.8333333333333334,1,24.0853239157078,19.129947626684334
3,3,0.8,0.8333333333333334,1,24.507212627605867,19.65491471822368
4,4,0.8,0.8333333333333334,1,31.059565403764957,24.732685547731847
5,5,0.8,0.8333333333333334,1,27.185148829068677,21.722468335083587
6,6,0.8,0.8333333333333334,1,21.642356810328312,17.25410669649931
7,7,0.8,0.8333333333333334,1,22.413916692675823,17.855192772683463
8,8,0.8,0.8333333333333334,1,41.557329222471466,33.457940236075665
9,9,0.8,0.8333333333333334,1,21.787793267466682,17.49376506408993
10,10,0.8,0.8333333333333334,1,29.503279820137294,23.812739652211885
11,11,0.8,0.8333333333333334,1,42.633238919476526,34.146705718476824
12,12,0.8,0.8333333333333334,1,21.537743444619043,17.26998114987523
13,13,0.8,0.8333333333333334,1,18.23749696957743,14.502457590208037
14,14,0.8,0.8333333333333334,1,22.446168556734804,17.986441178598856
15,15,0.8,0.8333333333333334,1,22.3175126142609,17.819194771729812
16,16,0.8,0.8333333333333334,1,36.44336156293851,29.108899308414525
17,17,0.8,0.8333333333333334,1,29.369775909554907,23.606726550526695
18,18,0.8,0.8333333333333334,1,21.770090219930097,17.391698447587647
19,19,0.8,0.8333333333333334,1,26.938291456186928,21.642353159243978
20,20,0.8,0.8333333333333334,1,24.253780860994578,19.32098748478487
21,21,0.8,0.8333333333333334,1,29.087576942050397,23.29582871375867
22,22,0.8,0.8333333333333334,1,46.74318454232333,37.757285869143004
23,23,0.8,0.8333333333333334,1,22.45364421903691,17.862881088367704
24,24,0.8,0.8333333333333334,1,19.236942006659685,15.444374685155763
25,25,0.8,0.8333333333333334,1,29.232684495950874,23.17703277086698
26,26,0.8,0.8333333333333334,1,21.23225533913612,17.002381806476944
27,27,0.8,0.8333333333333334,1,17.163958045439504,13.583919495879815
28,28,0.8,0.8333333333333334,1,35.79566132282639,28.932544123571056
29,29,0.8,0.8333333333333334,1,27.71380954167934,22.25108211344341
30,0,1.6,0.8333333333333334,2,13.209099048485054,21.097131412755985
31,1,1.6,0.8333333333333334,2,16.10402160419801,25.722332048405455
32,2,1.6,0.8333333333333334,2,15.717832497809965,25.13673371105627
33,3,1.6,0.8333333333333334,2,13.168805249607955,21.153578624655268
34,4,1.6,0.8333333333333334,2,14.655666124267537,23.43338991605544
35,5,1.6,0.8333333333333334,2,12.061483038398569,19.271273313790836
36,6,1.6,0.8333333333333334,2,14.545670148735892,23.300154248328536
37,7,1.6,0.8333333333333334,2,12.811872518134441,20.53624989509245
38,8,1.6,0.8333333333333334,2,14.096176485361976,22.648468366579056
39,9,1.6,0.8333333333333334,2,12.175062229780027,19.506127435310546
40,10,1.6,0.8333333333333334,2,12.698208718489402,20.366524535446725
41,11,1.6,0.8333333333333334,2,11.383403719046868,18.223295768744716
42,12,1.6,0.8333333333333334,2,12.029044918487957,19.270831108822364
43,13,1.6,0.8333333333333334,2,13.480144751092485,21.629161856022616
44,14,1.6,0.8333333333333334,2,12.38903052296396,19.775720583741624
45,15,1.6,0.8333333333333334,2,16.70634922086975,26.7689582303111
46,16,1.6,0.8333333333333334,2,13.63465099400859,21.765207518665918
47,17,1.6,0.8333333333333334,2,9.915684957209978,15.83491956546695
48,18,1.6,0.8333333333333334,2,15.456499923529245,24.791030336376025
49,19,1.6,0.8333333333333334,2,14.928578326757384,23.871127215588967
50,20,1.6,0.8333333333333334,2,14.332484742189035,22.874091924014508
51,21,1.6,0.8333333333333334,2,17.076791632633025,27.333377965415995
52,22,1.6,0.8333333333333334,2,11.516429971419402,18.392089037937943
53,23,1.6,0.8333333333333334,2,11.576052413309029,18.371548995596758
54,24,1.6,0.8333333333333334,2,14.44518544354077,23.32535049287925
55,25,1.6,0.8333333333333334,2,13.609746327853019,21.72759424639575
56,26,1.6,0.8333333333333334,2,13.147152926420697,21.125157127375463
57,27,1.6,0.8333333333333334,2,13.260736138648511,21.233476607305327
